[ 2025-03-30 15:53:38,599 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-03-30 15:53:38,600 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-03-30 15:53:50,728 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-30 15:54:17,649 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-30 15:54:17,649 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-30 15:54:17,650 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-30 15:54:17,760 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-30 15:54:17,760 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-30 15:54:17,784 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-30 15:54:17,862 ] 32 root - INFO - Required number of columns:2
[ 2025-03-30 15:54:17,862 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 15:54:17,862 ] 32 root - INFO - Required number of columns:2
[ 2025-03-30 15:54:17,862 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-30 15:54:18,446 ] 28 root - INFO - data Validation Completed
[ 2025-03-30 15:54:18,446 ] 31 root - INFO - data Transformation started
[ 2025-03-30 15:54:18,446 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-30 15:54:18,447 ] 65 root - INFO - Starting data transformation
[ 2025-03-30 15:54:18,507 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-30 15:54:18,507 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-30 15:54:18,527 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-30 15:54:18,534 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-30 15:54:18,534 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-30 15:54:18,540 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-30 15:54:18,543 ] 35 root - INFO - data Transformation completed
[ 2025-03-30 15:54:18,543 ] 37 root - INFO - Model Training sstared
